pace_pad,q_bot_em,q_x_left_bot,q_x_right_bot,champ_capture_excl_uconn,uconn_excluded,avg_inside_per_season,inside_growth,depth_corr
0.25,0.97,0.15,0.8,0,True,8.428571428571429,-0.5238095238095237,0.1811045769459408
0.25,0.97,0.15,0.85,0,True,8.571428571428571,-0.3809523809523814,0.1809950630243445
0.25,0.97,0.15,0.9,2,True,9.095238095238095,0.14285714285714235,0.1809997823110663
0.25,0.97,0.2,0.7,0,True,7.809523809523809,-1.1428571428571432,0.18134513021277326
0.25,0.97,0.2,0.75,0,True,7.904761904761905,-1.0476190476190474,0.18119391906086824
0.25,0.97,0.2,0.8,0,True,8.238095238095237,-0.7142857142857153,0.18091113957846294
0.25,0.97,0.2,0.85,0,True,8.380952380952381,-0.5714285714285712,0.1807834416656421
0.25,0.97,0.2,0.9,2,True,8.904761904761905,-0.04761904761904745,0.1807816816375232
0.25,0.97,0.25,0.7,0,True,7.428571428571429,-1.5238095238095237,0.18128750842261998
0.25,0.97,0.25,0.75,0,True,7.523809523809524,-1.4285714285714288,0.18114208965850412
0.25,0.97,0.25,0.8,0,True,7.857142857142857,-1.0952380952380958,0.18083682643974128
0.25,0.97,0.25,0.85,0,True,8.0,-0.9523809523809526,0.18069464477681574
0.25,0.97,0.25,0.9,2,True,8.523809523809524,-0.4285714285714288,0.18068702073185625
0.25,0.97,0.3,0.7,0,True,7.285714285714286,-1.666666666666667,0.18131819502005994
0.25,0.97,0.3,0.75,0,True,7.380952380952381,-1.5714285714285712,0.1811509209421644
0.25,0.97,0.3,0.8,0,True,7.714285714285714,-1.2380952380952381,0.1808398720091265
0.25,0.97,0.3,0.85,0,True,7.857142857142857,-1.0952380952380958,0.1806904233342459
0.25,0.97,0.3,0.9,2,True,8.380952380952381,-0.5714285714285712,0.18068280129134065
0.5,0.94,0.1,0.7,4,False,16.285714285714285,7.333333333333332,0.17449021756272612
0.5,0.94,0.1,0.75,4,False,16.857142857142858,7.904761904761905,0.17488540912535042
0.5,0.94,0.1,0.8,4,False,17.285714285714285,8.333333333333332,0.17500371108662702
0.5,0.94,0.1,0.85,4,False,17.80952380952381,8.857142857142858,0.17509289231278444
0.5,0.94,0.1,0.9,4,False,18.523809523809526,9.571428571428573,0.17539468652959464
0.5,0.94,0.15,0.7,4,False,15.761904761904763,6.80952380952381,0.1741922721846164
0.5,0.94,0.15,0.75,4,False,16.333333333333332,7.38095238095238,0.1745692101913016
0.5,0.94,0.15,0.8,4,False,16.761904761904763,7.80952380952381,0.17467891229743382
0.5,0.94,0.15,0.85,4,False,17.285714285714285,8.333333333333332,0.1747167647141426
0.5,0.94,0.15,0.9,4,False,18.0,9.047619047619047,0.1749663993188327
0.5,0.94,0.2,0.7,4,False,15.142857142857142,6.19047619047619,0.17407165246745068
0.5,0.94,0.2,0.75,4,False,15.714285714285714,6.761904761904761,0.17439261521397964
0.5,0.94,0.2,0.8,4,False,16.142857142857142,7.19047619047619,0.1744769736671441
0.5,0.94,0.2,0.85,4,False,16.666666666666668,7.714285714285715,0.1744920191508316
0.5,0.94,0.2,0.9,4,False,17.38095238095238,8.428571428571427,0.1746839232601787
0.5,0.94,0.25,0.7,4,False,14.666666666666666,5.7142857142857135,0.17397295251732323
0.5,0.94,0.25,0.75,4,False,15.238095238095237,6.285714285714285,0.17427755766597422
0.5,0.94,0.25,0.8,4,False,15.666666666666666,6.7142857142857135,0.1743339146763405
0.5,0.94,0.25,0.85,4,False,16.19047619047619,7.238095238095237,0.17432228232808283
0.5,0.94,0.25,0.9,4,False,16.904761904761905,7.9523809523809526,0.1744920508582247
0.5,0.94,0.3,0.7,4,False,14.0,5.0476190476190474,0.17398275899236415
0.5,0.94,0.3,0.75,4,False,14.571428571428571,5.619047619047619,0.1742665508748285
0.5,0.94,0.3,0.8,4,False,15.0,6.0476190476190474,0.17428832991898702
0.5,0.94,0.3,0.85,4,False,15.523809523809524,6.571428571428571,0.174264389046594
0.5,0.94,0.3,0.9,4,False,16.238095238095237,7.285714285714285,0.1743822197097651
0.5,0.945,0.1,0.7,4,False,15.0,6.0476190476190474,0.17499803744786677
0.5,0.945,0.1,0.75,4,False,15.238095238095237,6.285714285714285,0.17525599329436184
0.5,0.945,0.1,0.8,4,False,15.904761904761905,6.9523809523809526,0.17524295294990674
