season,team,tournament_finish,adj_tempo,adj_em,inside,margin
2006,Belmont,,71.3971,2.293,False,-17.88589199999999
2006,Bethune Cookman,,69.9001,-13.3739,False,-33.55279199999999
2006,Binghamton,,66.4469,-0.3992,False,-21.993669668023973
2006,Canisius,,67.0156,-4.9921,False,-25.597724018973164
2006,Boise St.,,73.0094,1.7964,False,-20.916072529362978
2006,Brown,,66.6158,-12.1361,False,-33.43688929150793
2006,Bucknell,,65.0123,13.4023,False,-10.686627146709178
2006,Buffalo,,70.8161,0.9338,False,-19.24509199999999
2006,Tennessee St.,,66.9526,-4.91,False,-25.625167321048426
2006,Butler,,62.6897,10.4381,False,
2006,BYU,,72.546,8.5626,False,-13.061821727910964
2006,California,,65.8326,13.1348,False,-9.527803802386385
2006,Cal St. Fullerton,,71.424,0.0487,False,-20.13019199999999
2006,Cal St. Northridge,,71.7341,-8.1863,False,-28.36519199999999
2006,Central Connecticut,,65.5009,-0.2093,False,-23.44865798172549
2006,Central Michigan,,69.2006,-15.5342,False,-35.71309199999999
2006,Hampton,,70.7622,-4.9231,False,-25.10199199999999
2006,Charleston Southern,,68.3169,-9.9024,False,-30.08129199999999
2006,Cincinnati,,70.9567,14.1631,False,-6.0157919999999905
2006,Colorado,,71.682,8.6498,False,-11.52909199999999
2006,Columbia,,67.2622,-12.3281,False,-32.50699199999999
2006,Coppin St.,,68.4053,-11.2514,False,-31.43029199999999
2006,Creighton,,66.2777,11.373,False,-10.51567167931182
2006,Dartmouth,,64.8089,-13.764,False,-38.20659552198073
2006,Pepperdine,,69.4081,-5.1004,False,-25.27929199999999
2006,Davidson,,68.9312,4.3187,False,-15.86019199999999
2006,Dayton,,65.2253,2.3921,False,-21.32646645874043
2006,Denver,,66.8112,-1.7027,False,-22.66373117681735
2006,Detroit Mercy,,63.1403,-1.8083,False,
2006,Drake,,68.0561,0.8472,False,-19.33169199999999
2006,Drexel,,65.7198,5.4132,False,-17.445538476578268
2006,East Carolina,,66.7646,-10.1606,False,-31.20265844470159
2006,Eastern Illinois,,63.8775,-15.7847,False,-41.84679761012195
2006,Eastern Kentucky,,65.8377,-7.7261,False,-30.379836011266008
2006,Eastern Washington,,68.0783,0.873,False,-19.30589199999999
2006,Elon,,66.9702,-6.6562,False,-27.34076474777026
2006,Fairleigh Dickinson,,72.1957,-0.3847,False,-21.186626700399845
2006,Florida A&M,,69.0543,-13.5017,False,-33.68059199999999
2006,Fordham,,65.8125,3.453,False,-19.24455333209611
2006,Fresno St.,,72.7836,2.7156,False,-19.466700170778903
2006,Gardner Webb,,65.7087,-8.8738,False,-31.751838963134407
2006,Northern Kentucky,,65.8299,-5.1047,False,-27.771998515332477
2006,Georgetown,,60.8275,18.6291,False,
2006,George Washington,,74.1934,13.092,False,-12.400472850725082
2006,Georgia,,70.5268,3.7459,False,-16.43299199999999
2006,Georgia Southern,,73.6795,-1.0102,False,-25.29604940043119
2006,Georgia St.,,66.7775,-7.5769,False,-28.596528149514747
2006,Georgia Tech,,70.2486,5.741,False,-14.43789199999999
2006,Gonzaga,,69.0803,13.7888,False,-6.39009199999999
2006,Grambling St.,,69.4108,-13.1715,False,-33.35039199999999
2006,Hawaii,,65.7303,3.9432,False,-18.897281259565734
2006,Hofstra,,70.0025,9.1162,False,-11.062691999999991
2006,Holy Cross,,67.1768,5.0801,False,-15.245232268266316
2006,Houston,,69.8755,8.8306,False,-11.34829199999999
2006,Houston Christian,,67.9506,0.0,False,-20.17889199999999
2006,Howard,,67.4739,-14.5429,False,-34.72179199999999
2006,Idaho,,64.212,-13.1634,False,-38.64387483957949
2006,Idaho St.,,72.4987,-3.208,False,-24.721362593451126
2006,Illinois,,65.1872,20.7476,False,-3.0372140747573724
2006,Illinois Chicago,,67.7163,-0.5872,False,-20.76609199999999
2006,Illinois St.,,64.2312,-2.3892,False,-27.83629021418513
2006,Indiana,,67.5485,12.9766,False,-7.202291999999991
2006,Tulane,,67.1193,-5.2197,False,-25.645012266192158
2006,Indiana St.,,67.3659,-2.9665,False,-23.14539199999999
2006,Iona,,71.2591,10.3675,False,-9.81139199999999
2006,Iowa St.,,72.5041,9.1505,False,-12.37554164897084
2006,IU Indy,,64.3449,-2.5559,False,-27.805290635677885
2006,James Madison,,69.0922,-16.4231,False,-36.601991999999996
2006,Kansas,,70.0252,22.5688,True,2.389908000000009
2006,Kansas St.,,66.6286,9.1341,False,-12.144432874578332
2006,Kennesaw St.,,68.3733,-14.0449,False,-34.22379199999999
2006,Kent St.,,68.9497,9.5386,False,-10.64029199999999
2006,Kentucky,,66.8127,14.0535,False,-6.904923002958405
2006,Lafayette,,70.204,-14.1718,False,-34.35069199999999
2006,La Salle,,67.9344,6.3123,False,-13.86659199999999
2006,Lehigh,,66.1956,-1.2261,False,-23.257525728524175
2006,Lipscomb,,67.4717,1.8313,False,-18.34759199999999
2006,Long Beach St.,,76.8205,1.3769,False,
2006,Longwood,,73.7861,-16.2769,False,-40.81304334828356
2006,Louisiana,,69.8543,0.53,False,-19.64889199999999
2006,Louisiana Monroe,,67.5518,-11.6376,False,-31.81649199999999
2006,Louisiana Tech,,66.9555,6.3142,False,-14.395924851587825
2006,Louisville,,67.1032,12.9237,False,-7.529606665611382
2006,Tulsa,,67.1651,-5.5605,False,-25.90617602436602
2006,Loyola Chicago,,67.6797,0.5082,False,-19.670691999999992
2006,Loyola Marymount,,73.4388,0.4402,False,-23.280492240505623
2006,Loyola MD,,70.7007,-2.9197,False,-23.09859199999999
2006,Manhattan,,70.1993,1.4272,False,-18.75169199999999
2006,Marist,,67.5758,4.7288,False,-15.45009199999999
2006,Marquette,,71.105,13.9712,False,-6.207691999999991
