player_name,player_id,team_id,minutes,usg_pct,box_bpr_old,box_bpr_new,box_obpr_new,box_dbpr_new,BPM,divergence_old,divergence_new
Keon Ellis,268,7,86.58666666666666,0.129,-1.026,-2.529,-1.555,-0.974,1.1,-2.126,-3.629
Nick Richards,253,24,461.7928571428572,0.176,-4.011,-4.103,-2.401,-1.702,-5.8,1.789,1.697
Al Horford,20,21,1033.8133333333333,0.163,-0.159,0.669,0.311,0.358,1.6,-1.759,-0.931
Brook Lopez,182,22,1787.909777777778,0.171,2.326,3.329,1.939,1.39,-0.9,3.226,4.229
Gui Santos,21,21,1662.1676470588234,0.181,1.068,1.174,-0.414,1.588,-0.6,1.668,1.774
Jordan Clarkson,89,3,109.41666666666667,0.203,1.4,1.933,-0.023,1.956,-3.3,4.7,5.233
Scoot Henderson,284,19,1395.9555555555557,0.246,2.961,3.214,0.75,2.464,-2.2,5.161,5.414
Dominick Barlow,68,4,88.52142857142857,0.125,2.508,1.963,0.002,1.961,-1.1,3.608,3.063
Bones Hyland,298,17,104.76666666666667,0.197,3.414,3.555,1.168,2.387,1.7,1.714,1.855
Walter Clayton Jr.,169,20,901.3333333333331,0.181,-5.396,-5.423,-2.245,-3.178,,,
Moussa Diabaté,224,12,2003.0547945205483,0.112,3.259,4.399,3.296,1.103,1.7,1.559,2.699
Cody Williams,170,20,1898.2522388059701,0.159,-3.762,-2.847,-0.583,-2.264,-5.5,1.738,2.653
Simone Fontecchio,210,13,1356.807857142857,0.184,2.444,2.496,0.377,2.119,0.5,1.944,1.996
Jose Alvarado,129,3,72.11428571428571,0.167,0.54,0.638,-0.636,1.274,0.9,-0.36,-0.262
Ryan Kalkbrenner,219,12,1500.6038647342993,0.113,0.888,-0.378,-1.443,1.065,1.8,-0.912,-2.178
LJ Cryer,529,21,324.61111111111114,0.196,0.998,1.715,-0.068,1.783,-4.7,5.698,6.415
Cam Whitmore,351,15,438.3063492063492,0.225,-4.452,-4.721,-1.992,-2.729,-3.3,-1.152,-1.421
Ja'Kobe Walter,425,5,1514.5162037037035,0.136,3.336,2.774,0.035,2.739,-0.3,3.636,3.074
