player_name,player_id,bpr_new,bpr_old,box_bpr,bpm
Grayson Allen,1628960,-0.762,-0.866,0.541,2.1
Dylan Cardwell,1642928,-0.767,-1.295,1.153,-1.9
id=1641725,1641725,-0.785,-1.118,,
Daniss Jenkins,1642450,-0.802,-1.631,3.658,-0.7
Josh Giddey,1630581,-0.814,-0.77,-0.869,2.7
id=1631451,1631451,-0.819,-1.043,,
id=203078,203078,-0.821,-1.156,,
id=204060,204060,-0.828,-1.053,,
John Konchar,1629723,-0.829,-0.935,0.722,0.0
Thomas Bryant,1628418,-0.834,-1.36,1.555,0.1
Sidy Cissoko,1631321,-0.857,-1.133,0.035,-4.0
Kyshawn George,1642273,-0.861,-0.412,-3.13,-1.2
Oso Ighodaro,1642345,-0.888,-1.95,2.529,0.1
Caleb Martin,1628997,-0.907,-0.586,-2.836,-2.2
Cam Spencer,1642285,-0.912,-1.148,-0.308,2.2
id=1642967,1642967,-0.957,-1.257,,
id=1643158,1643158,-0.993,-1.249,,
id=1642882,1642882,-1.018,-1.08,,
Paul George,202331,-1.052,-2.711,4.257,1.7
Liam McNeeley,1642862,-1.062,-1.123,-0.6,-1.3
Jabari Smith Jr.,1631095,-1.077,-1.82,3.351,-0.7
id=1641816,1641816,-1.079,-1.49,,
AJ Johnson,1642358,-1.093,-1.023,-2.942,-7.4
Doug McDermott,203926,-1.119,-0.62,-2.566,-4.4
id=1642419,1642419,-1.128,-1.406,,
id=1628502,1628502,-1.133,-1.553,,
id=1641807,1641807,-1.142,-1.574,,
Lonzo Ball,1628366,-1.143,-1.605,0.924,-1.1
id=1630587,1630587,-1.166,-1.525,,
Deni Avdija,1630166,-1.221,-1.695,0.233,4.3
Zion Williamson,1629627,-1.221,-1.458,-0.497,2.9
Scoot Henderson,1630703,-1.251,-2.244,1.791,-2.2
id=1642910,1642910,-1.274,-1.721,,
id=1642951,1642951,-1.298,-1.755,,
Kevin Porter Jr.,1629645,-1.311,-1.964,0.688,2.1
id=1642504,1642504,-1.316,-1.718,,
Ty Jerome,1629660,-1.325,-1.263,-1.984,7.7
Isaiah Stewart,1630191,-1.33,-1.787,2.825,0.0
Brandin Podziemski,1641764,-1.334,-1.729,1.208,0.2
Kel'el Ware,1642276,-1.359,-1.895,0.582,2.1
id=203486,203486,-1.369,-1.752,,
id=1642367,1642367,-1.386,-1.675,,
Trey Murphy III,1630530,-1.447,-1.822,-0.554,2.4
Isaac Okoro,1630171,-1.512,-1.36,-2.055,-3.8
Zeke Nnaji,1630192,-1.54,-0.792,-3.29,-3.5
Jeremiah Robinson-Earl,1630526,-1.55,-1.404,-2.61,-5.4
Micah Peavy,1642877,-1.594,-1.95,-0.006,-5.2
id=1642933,1642933,-1.604,-2.133,,
id=1630610,1630610,-1.623,-1.837,,
Guerschon Yabusele,1627824,-1.624,-1.501,-2.87,-1.3
id=1631166,1631166,-1.628,-2.138,,
Gary Payton II,1627780,-1.677,-2.522,2.467,1.9
Quenton Jackson,1631245,-1.679,-2.056,0.518,-1.8
Brice Sensabaugh,1641729,-1.702,-1.751,-3.437,-2.6
Max Christie,1631108,-1.724,-1.475,-2.299,-1.5
Noah Clowney,1641730,-1.734,-1.555,-1.774,-3.4
Jaylen Wells,1642377,-1.736,-1.843,-1.725,-3.1
Nick Richards,1630208,-1.746,-1.667,-3.246,-5.8
id=1642403,1642403,-1.746,-2.421,,
Ja'Kobe Walter,1642266,-1.761,-2.516,2.508,-0.3
id=1642866,1642866,-1.808,-2.323,,
id=1641727,1641727,-1.815,-1.955,,
Bilal Coulibaly,1641731,-1.847,-1.389,-3.516,-2.1
Isaiah Joe,1630198,-1.87,-3.512,6.012,2.5
Jase Richardson,1642859,-1.881,-2.108,-0.442,-2.5
Blake Wesley,1631104,-1.89,-1.758,-2.684,-3.6
Ja Morant,1629630,-1.91,-1.928,-1.305,-1.5
Walter Clayton Jr.,1642383,-1.956,-1.428,-4.712,
Dru Smith,1630696,-1.977,-2.441,0.459,2.2
id=1631102,1631102,-2.003,-2.652,,
id=1628365,1628365,-2.009,-2.808,,
Jordan Poole,1629673,-2.062,-1.808,-3.606,-3.5
Christian Koloko,1631132,-2.087,-2.098,-1.727,-4.7
Brandon Williams,1630314,-2.136,-2.097,-2.287,0.4
Reed Sheppard,1642263,-2.174,-2.828,2.042,2.7
id=1643253,1643253,-2.185,-2.537,,
Tyrese Martin,1631213,-2.195,-2.25,-2.011,-3.1
id=202687,202687,-2.197,-2.914,,
Branden Carlson,1642382,-2.232,-2.313,0.73,0.8
Egor Dëmin,1642856,-2.242,-2.893,-0.757,-1.6
Bogdan Bogdanović,203992,-2.251,-2.723,-0.443,-3.1
Mark Williams,1631109,-2.281,-3.088,0.47,2.0
Trayce Jackson-Davis,1631218,-2.291,-2.392,-1.26,-0.4
id=1641763,1641763,-2.308,-2.859,,
Caris LeVert,1627747,-2.325,-2.454,1.053,-0.4
DeMar DeRozan,201942,-2.345,-2.512,-3.849,-0.1
Keaton Wallace,1630811,-2.364,-2.807,-0.323,-2.7
id=201959,201959,-2.374,-2.828,,
id=1642905,1642905,-2.381,-3.112,,
id=1641748,1641748,-2.391,-3.239,,
Jeremy Sochan,1631110,-2.425,-2.494,-1.023,-3.0
Ronald Holland II,1641842,-2.484,-3.195,3.27,
Zach LaVine,203897,-2.493,-2.092,-4.474,-1.5
Gary Trent Jr.,1629018,-2.507,-2.253,-4.238,-5.4
Royce O'Neale,1626220,-2.518,-2.456,-2.357,0.7
Jabari Walker,1631133,-2.519,-3.473,0.283,-2.7
Bez Mbeng,1643016,-2.56,-2.498,-2.917,-4.9
id=1642353,1642353,-2.581,-3.226,,
Cooper Flagg,1642843,-2.609,-3.372,-0.387,1.4
